Date,Ticker,Close,High,Low,Open,Volume,sector,industry,marketCap,trailingPE,priceToBook,dividendYield,beta
2018-01-02,AAPL,40.42682647705078,40.43621588001568,39.722771657019194,39.93399025163347,102223600.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-03,AAPL,40.4197883605957,40.96425916920155,40.356426001755686,40.49019456253724,118071600.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-04,AAPL,40.607540130615234,40.71080209052406,40.3845901249985,40.49254320598795,89738400.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-05,AAPL,41.069854736328125,41.156686997562645,40.612219928324755,40.703746889925426,94640000.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-08,AAPL,40.91731643676758,41.21301814104045,40.818745621002336,40.91731643676758,82271200.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-09,AAPL,40.91261672973633,41.08393569435203,40.69670706368473,40.964247691292925,86336000.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-10,AAPL,40.90324020385742,40.90558934530854,40.60049818035278,40.638048633487585,95839600.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-11,AAPL,41.13556671142578,41.18485211334439,40.950167226318456,40.97363356641674,74670800.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-12,AAPL,41.56034469604492,41.62371061656519,41.222397894612946,41.34678059500012,101672400.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-16,AAPL,41.349143981933594,42.10013514329996,41.33740901764493,41.75045326114435,118263600.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-17,AAPL,42.03207015991211,42.06727146513678,41.08629022879439,41.339746788427306,137547200.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-18,AAPL,42.06962203979492,42.266760115574634,41.83259153401056,42.0954375270394,124773600.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-19,AAPL,41.881874084472656,42.14472005952902,41.6354541923534,41.917075391486335,129700400.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-22,AAPL,41.53922271728515,41.722276632609585,41.44535020004437,41.60962889571924,108434400.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
2018-01-23,AAPL,41.548614501953125,42.11186042928691,41.49698711676318,41.609634869826934,130756400.0,Technology,Consumer Electronics,3003400323072,30.663637,45.67366,0.51,1.199
