Date,Ticker,Close,High,Low,Open,Volume,sector,industry,marketCap,trailingPE,priceToBook,dividendYield,beta
2018-03-05,AZN.L,4791.38916015625,4798.376602681478,4706.541643778483,4726.505765279134,2964328.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-06,AZN.L,4786.8974609375,4852.779065029226,4786.8974609375,4827.8239119641785,2563319.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-07,AZN.L,4747.46826171875,4776.915341979621,4738.983509779177,4758.947631989938,1844372.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-08,AZN.L,4806.3623046875,4822.333602065485,4749.963660821489,4751.460969950675,2815474.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-09,AZN.L,4776.9150390625,4817.3423839756815,4760.444639283056,4813.349559786726,1918966.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-12,AZN.L,4791.38916015625,4827.324578857422,4765.93490524292,4782.904408518473,1664175.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-13,AZN.L,4774.4189453125,4803.366917174107,4753.955723824123,4781.406386796336,2199408.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-14,AZN.L,4756.4521484375,4793.884877832339,4741.9781597381625,4767.432415726653,1901384.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-15,AZN.L,4790.39013671875,4811.352460717728,4741.478047387802,4744.971768054298,2474474.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-16,AZN.L,4858.2685546875,4877.733571497939,4773.421045513792,4776.415663484629,5631156.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-19,AZN.L,4838.80322265625,4911.173152236978,4835.808604880496,4911.173152236978,2676405.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-20,AZN.L,4859.26806640625,4881.228604093378,4834.3129099436055,4853.7779319844685,2123679.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-21,AZN.L,4848.78564453125,4875.7372065286445,4835.309863532553,4875.238103528693,2070662.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-22,AZN.L,4824.8291015625,4827.32461676968,4782.9044460818695,4813.848834650907,2239278.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-23,AZN.L,4779.41064453125,4811.852341679802,4747.468050415753,4794.882838555944,2307502.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-26,AZN.L,4751.4609375,4844.294102875525,4737.486052389706,4800.872138425682,2002769.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-27,AZN.L,4857.27099609375,4891.2100042867605,4826.825709332374,4838.3050797505975,2227665.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-28,AZN.L,4935.13037109375,4949.60435782127,4766.43356026955,4816.842962320568,3526039.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-03-29,AZN.L,4886.71728515625,4946.110539873193,4862.760342077147,4942.117716026676,2890263.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-03,AZN.L,4917.16259765625,4941.61864386871,4822.333030709976,4836.807017243881,2646897.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-04,AZN.L,4858.2685546875,4943.615166856347,4841.299052852758,4920.157326084793,2230218.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-05,AZN.L,4998.017578125,5003.008608260935,4891.708636229591,4926.14674416754,3648898.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-06,AZN.L,4981.546875,5001.011891343553,4960.085446723775,4970.566609370303,1678964.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-09,AZN.L,4986.03955078125,5009.99649757179,4951.601439769848,4997.019818060247,1358162.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-10,AZN.L,5067.89306640625,5089.853603625265,4999.016836037523,5024.9701982054485,2588517.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-11,AZN.L,5060.9052734375,5139.763560735639,5029.960882219243,5139.763560735639,2692480.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-12,AZN.L,5035.94970703125,5067.892301803301,5017.981997471971,5067.892301803301,1825182.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-13,AZN.L,5001.0126953125,5039.942734258047,4991.030634044411,5039.942734258047,1646427.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-16,AZN.L,4906.6826171875,5012.991578377708,4865.7561626447905,5011.99337216935,2544709.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-17,AZN.L,4918.16064453125,4926.146292015774,4866.253935881844,4916.663335627902,2052990.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-18,AZN.L,4955.59375,4975.557870253801,4920.157436549502,4931.137702689092,1561512.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-19,AZN.L,4946.6103515625,5006.003614788808,4928.642641678911,4967.0735767076985,1839174.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-20,AZN.L,4967.07275390625,4977.553916268794,4951.1014588776125,4962.580827179446,1680537.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-23,AZN.L,5006.0029296875,5018.979607271934,4962.081867094031,4962.081867094031,1571971.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-24,AZN.L,4980.548828125,5012.990523067191,4944.114309189924,5012.990523067191,2256312.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-25,AZN.L,4982.04638671875,5042.936955660814,4919.6585087043395,4991.0302411528255,2354708.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-26,AZN.L,4983.044921875,5015.985723642202,4964.079005706005,5000.01442581568,2511071.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-27,AZN.L,5073.88232421875,5080.869767907425,4977.55542193917,4991.031206195898,1980533.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-04-30,AZN.L,5093.84521484375,5131.777042820247,5068.8900648592125,5083.863154849935,1559518.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-01,AZN.L,5203.64892578125,5221.61663739914,5109.817542887822,5109.817542887822,3027562.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-02,AZN.L,5192.66845703125,5233.594909691435,5141.75994274663,5196.661281681024,2484551.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-03,AZN.L,5190.67138671875,5221.615773831881,5164.718029785156,5200.653447077824,1940378.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-04,AZN.L,5195.66357421875,5231.598999515941,5157.73173640505,5213.631286867345,2549629.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-08,AZN.L,5229.60107421875,5239.583133913766,5184.681805591179,5207.640542889715,2061270.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-09,AZN.L,5247.56982421875,5247.56982421875,5151.742032108231,5199.655928163491,2749538.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-10,AZN.L,5242.578125,5289.493808906132,5213.630149823877,5260.545833730008,2743039.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-11,AZN.L,5269.5302734375,5277.515922648999,5195.66301823114,5205.645079745513,2142431.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-14,AZN.L,5285.50146484375,5311.454824255636,5254.557074775732,5288.496083237429,1820140.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-15,AZN.L,5282.5068359375,5294.485309488378,5255.555270448023,5282.5068359375,2566065.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-16,AZN.L,5308.4599609375,5332.416906981596,5276.51736621204,5281.5083966378925,2622706.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-17,AZN.L,5335.4111328125,5359.368077094539,5296.4810983541865,5297.479304365937,2323294.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-18,AZN.L,5231.59716796875,5256.552315688502,5155.733518900704,5191.668931617147,5356311.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-21,AZN.L,5407.28173828125,5427.245857676788,5300.473699515126,5320.437818910664,4009777.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
2018-05-22,AZN.L,5444.21630859375,5472.166080621734,5395.3042075447775,5395.3042075447775,2878512.0,Healthcare,Drug Manufacturers - General,175547580416,27.621891,384.87402,2.2,0.166
