Date,Ticker,Close,High,Low,Open,Volume,sector,industry,marketCap,trailingPE,priceToBook,dividendYield,beta
2018-02-19,ABEV3.SA,16.578481674194336,16.704638483961606,16.47458833042387,16.674953862632528,2501800.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-20,ABEV3.SA,16.853057861328125,16.853057861328125,16.437483058056,16.496850887094876,15588100.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-21,ABEV3.SA,16.62300682067871,16.934688260491964,16.600744770618164,16.90500505526436,22576300.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-22,ABEV3.SA,16.637849807739258,16.697217636049807,16.511692995649256,16.660113274145967,16270400.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-23,ABEV3.SA,16.303905487060547,16.80853275393621,16.19259098182403,16.682375937217294,32687400.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-26,ABEV3.SA,16.437482833862305,16.50427181755018,16.177748054569534,16.489429506632725,19128700.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-27,ABEV3.SA,16.48942756652832,16.585901160700267,16.36327076945459,16.51169103028504,9223300.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-02-28,ABEV3.SA,16.3261661529541,16.61558409999733,16.3261661529541,16.54879512522728,62731700.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-01,ABEV3.SA,16.578481674194336,16.87532081028184,16.400378192541833,16.830795293728876,20943200.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-02,ABEV3.SA,16.756589889526367,16.756589889526367,16.34101498160537,16.489433883856627,13813000.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-05,ABEV3.SA,16.71205711364746,16.934686078207633,16.60816237013767,16.62300467855913,13439700.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-06,ABEV3.SA,16.897581100463867,17.008895578645607,16.652688682287884,16.749160852594624,16957900.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-07,ABEV3.SA,17.120214462280273,17.187003449463848,16.801111838056705,16.875321981087424,13617400.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-08,ABEV3.SA,17.290897369384766,17.42447534814718,17.02374282730073,17.038583724042603,16683100.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-09,ABEV3.SA,17.39478874206543,17.476418612246405,17.24636848010644,17.327999765727935,10929200.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-12,ABEV3.SA,17.79552459716797,17.914260263328025,17.30573962039753,17.39479207773797,18557700.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-13,ABEV3.SA,17.780683517456055,17.92168266158438,17.6100011624507,17.82521045693293,8862600.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-14,ABEV3.SA,18.010730743408203,18.062677411385973,17.676785855778913,17.676785855778913,8575500.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-15,ABEV3.SA,17.7213134765625,18.03299493693765,17.661945646750123,17.854891447500524,20333500.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-16,ABEV3.SA,17.52094841003418,17.795524099561202,17.46900173447181,17.66194612500611,20736400.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-19,ABEV3.SA,17.654525756835938,17.661945496988945,17.29831736554137,17.424474179753034,9433700.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-20,ABEV3.SA,17.58031463623047,17.77326042458802,17.491262189511357,17.77326042458802,8410300.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-21,ABEV3.SA,17.72873306274414,17.862311021856886,17.483840609517642,17.528367539515614,9439300.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
2018-03-22,ABEV3.SA,17.817787170410156,17.8697338448159,17.609999057346457,17.80294485902545,10445800.0,Consumer Defensive,Beverages - Brewers,191628132352,13.074468,2.0344315,8.56,0.324
